Production Date,Date,Station,Fcst Mn,Fcst Mx,Fcst Avg,Norm Mn,Norm Max,HDD,CDD
12/11/2018,12/11/2018,KABR,11,32,21.5,7,26.4,44,0
12/11/2018,12/12/2018,KABR,16,37,26.5,6.7,26.1,39,0
12/11/2018,12/13/2018,KABR,18,39,28.5,6.4,25.8,37,0
12/11/2018,12/14/2018,KABR,18,42,30,6.1,25.5,35,0
12/11/2018,12/15/2018,KABR,19,41,30,5.7,25.2,35,0
12/11/2018,12/16/2018,KABR,15,41,28,5.4,25,37,0
12/11/2018,12/17/2018,KABR,17,37,27,5.2,24.7,38,0
12/11/2018,12/18/2018,KABR,19,40,29.5,4.9,24.5,36,0
12/11/2018,12/19/2018,KABR,23,44,33.5,4.6,24.2,32,0
12/11/2018,12/20/2018,KABR,17,35,26,4.4,24,39,0
12/11/2018,12/21/2018,KABR,12,30,21,4.1,23.8,44,0
12/11/2018,12/22/2018,KABR,6,21,13.5,3.9,23.6,52,0
12/11/2018,12/23/2018,KABR,-2,14,6,3.7,23.5,59,0
12/11/2018,12/24/2018,KABR,-4,15,5.5,3.5,23.3,60,0
12/11/2018,12/11/2018,KABI,41,61,51,34,57.2,14,0
12/11/2018,12/12/2018,KABI,44,63,53.5,33.8,57,12,0
12/11/2018,12/13/2018,KABI,35,54,44.5,33.6,56.8,21,0
12/11/2018,12/14/2018,KABI,32,51,41.5,33.5,56.6,24,0
12/11/2018,12/15/2018,KABI,36,61,48.5,33.3,56.5,17,0
12/11/2018,12/16/2018,KABI,40,64,52,33.2,56.3,13,0
12/11/2018,12/17/2018,KABI,37,60,48.5,33.1,56.2,17,0
12/11/2018,12/18/2018,KABI,39,61,50,33,56.1,15,0
12/11/2018,12/19/2018,KABI,38,61,49.5,32.9,56,16,0
12/11/2018,12/20/2018,KABI,39,61,50,32.8,55.9,15,0
12/11/2018,12/21/2018,KABI,38,67,52.5,32.7,55.9,13,0
12/11/2018,12/22/2018,KABI,34,57,45.5,32.7,55.8,20,0
12/11/2018,12/23/2018,KABI,30,52,41,32.6,55.7,24,0
12/11/2018,12/24/2018,KABI,30,51,40.5,32.6,55.7,25,0
12/11/2018,12/11/2018,KALB,23,37,30,23,37.3,35,0
12/11/2018,12/12/2018,KALB,17,35,26,22.6,36.9,39,0
12/11/2018,12/13/2018,KALB,19,37,28,22.2,36.5,37,0
12/11/2018,12/14/2018,KALB,27,45,36,21.8,36.2,29,0
12/11/2018,12/15/2018,KALB,31,47,39,21.4,35.8,26,0
12/11/2018,12/16/2018,KALB,29,41,35,21,35.5,30,0
12/11/2018,12/17/2018,KALB,23,42,32.5,20.6,35.1,33,0
12/11/2018,12/18/2018,KALB,18,33,25.5,20.3,34.8,40,0
12/11/2018,12/19/2018,KALB,23,40,31.5,19.9,34.5,34,0
12/11/2018,12/20/2018,KALB,31,48,39.5,19.5,34.2,26,0
12/11/2018,12/21/2018,KALB,35,51,43,19.2,33.9,22,0
12/11/2018,12/22/2018,KALB,31,46,38.5,18.8,33.6,27,0
12/11/2018,12/23/2018,KALB,32,46,39,18.5,33.3,26,0
12/11/2018,12/24/2018,KALB,27,40,33.5,18.2,33,32,0
12/11/2018,12/11/2018,KABQ,31,50,40.5,26.7,46.3,25,0
12/11/2018,12/12/2018,KABQ,26,54,40,26.6,46.1,25,0
12/11/2018,12/13/2018,KABQ,22,43,32.5,26.5,45.9,33,0
12/11/2018,12/14/2018,KABQ,24,47,35.5,26.4,45.8,30,0
12/11/2018,12/15/2018,KABQ,30,50,40,26.3,45.6,25,0
12/11/2018,12/16/2018,KABQ,33,53,43,26.2,45.5,22,0
12/11/2018,12/17/2018,KABQ,31,53,42,26.1,45.4,23,0
12/11/2018,12/18/2018,KABQ,28,51,39.5,26,45.3,26,0
12/11/2018,12/19/2018,KABQ,27,53,40,25.9,45.3,25,0
12/11/2018,12/20/2018,KABQ,28,52,40,25.8,45.2,25,0
12/11/2018,12/21/2018,KABQ,26,54,40,25.8,45.1,25,0
12/11/2018,12/22/2018,KABQ,25,45,35,25.7,45.1,30,0
12/11/2018,12/23/2018,KABQ,22,42,32,25.7,45.1,33,0
12/11/2018,12/24/2018,KABQ,24,44,34,25.6,45.1,31,0
12/11/2018,12/11/2018,KABE,24,40,32,25.2,41.8,33,0
12/11/2018,12/12/2018,KABE,26,41,33.5,24.9,41.4,32,0
12/11/2018,12/13/2018,KABE,26,41,33.5,24.6,41.1,32,0
12/11/2018,12/14/2018,KABE,32,48,40,24.3,40.7,25,0
12/11/2018,12/15/2018,KABE,32,53,42.5,24,40.4,23,0
12/11/2018,12/16/2018,KABE,32,46,39,23.8,40.1,26,0
12/11/2018,12/17/2018,KABE,27,47,37,23.5,39.8,28,0
12/11/2018,12/18/2018,KABE,23,39,31,23.2,39.5,34,0
12/11/2018,12/19/2018,KABE,26,44,35,23,39.2,30,0
12/11/2018,12/20/2018,KABE,35,53,44,22.7,38.9,21,0
12/11/2018,12/21/2018,KABE,37,54,45.5,22.5,38.6,20,0
12/11/2018,12/22/2018,KABE,32,50,41,22.2,38.4,24,0
12/11/2018,12/23/2018,KABE,34,50,42,22,38.2,23,0
12/11/2018,12/24/2018,KABE,28,45,36.5,21.8,37.9,29,0
12/11/2018,12/11/2018,KAPN,22,34,28,20,32.9,37,0
12/11/2018,12/12/2018,KAPN,27,37,32,19.6,32.6,33,0
12/11/2018,12/13/2018,KAPN,29,38,33.5,19.2,32.3,32,0
12/11/2018,12/14/2018,KAPN,26,40,33,18.9,32,32,0
12/11/2018,12/15/2018,KAPN,25,38,31.5,18.6,31.7,34,0
12/11/2018,12/16/2018,KAPN,26,41,33.5,18.2,31.4,32,0
12/11/2018,12/17/2018,KAPN,21,34,27.5,17.9,31.1,38,0
12/11/2018,12/18/2018,KAPN,21,35,28,17.6,30.8,37,0
12/11/2018,12/19/2018,KAPN,28,41,34.5,17.2,30.5,31,0
12/11/2018,12/20/2018,KAPN,31,41,36,16.9,30.3,29,0
12/11/2018,12/21/2018,KAPN,28,39,33.5,16.6,30,32,0
12/11/2018,12/22/2018,KAPN,23,37,30,16.3,29.8,35,0
12/11/2018,12/23/2018,KAPN,20,33,26.5,16,29.6,39,0
12/11/2018,12/24/2018,KAPN,16,28,22,15.7,29.3,43,0
12/11/2018,12/11/2018,KAMA,26,60,43,24.1,49.7,22,0
12/11/2018,12/12/2018,KAMA,28,66,47,24,49.5,18,0
12/11/2018,12/13/2018,KAMA,24,47,35.5,23.9,49.4,30,0
12/11/2018,12/14/2018,KAMA,23,53,38,23.8,49.2,27,0
12/11/2018,12/15/2018,KAMA,32,62,47,23.7,49.1,18,0
12/11/2018,12/16/2018,KAMA,31,63,47,23.6,49,18,0
12/11/2018,12/17/2018,KAMA,30,60,45,23.5,48.9,20,0
12/11/2018,12/18/2018,KAMA,31,56,43.5,23.4,48.8,22,0
12/11/2018,12/19/2018,KAMA,29,60,44.5,23.4,48.8,21,0
12/11/2018,12/20/2018,KAMA,30,58,44,23.3,48.7,21,0
12/11/2018,12/21/2018,KAMA,26,61,43.5,23.3,48.7,22,0
12/11/2018,12/22/2018,KAMA,23,47,35,23.2,48.7,30,0
12/11/2018,12/23/2018,KAMA,19,43,31,23.2,48.7,34,0
12/11/2018,12/24/2018,KAMA,20,44,32,23.2,48.7,33,0
12/11/2018,12/11/2018,KAVL,15,45,30,30,50.2,35,0
12/11/2018,12/12/2018,KAVL,23,45,34,29.8,50,31,0
12/11/2018,12/13/2018,KAVL,34,46,40,29.7,49.7,25,0
12/11/2018,12/14/2018,KAVL,38,47,42.5,29.5,49.5,23,0
12/11/2018,12/15/2018,KAVL,30,49,39.5,29.3,49.3,26,0
12/11/2018,12/16/2018,KAVL,30,52,41,29.1,49.1,24,0
12/11/2018,12/17/2018,KAVL,32,52,42,29,48.9,23,0
12/11/2018,12/18/2018,KAVL,30,52,41,28.8,48.7,24,0
12/11/2018,12/19/2018,KAVL,32,52,42,28.7,48.5,23,0
12/11/2018,12/20/2018,KAVL,37,53,45,28.5,48.4,20,0
12/11/2018,12/21/2018,KAVL,35,53,44,28.4,48.2,21,0
12/11/2018,12/22/2018,KAVL,34,55,44.5,28.2,48.1,21,0
12/11/2018,12/23/2018,KAVL,36,56,46,28.1,47.9,19,0
12/11/2018,12/24/2018,KAVL,34,53,43.5,27.9,47.8,22,0
12/11/2018,12/11/2018,KAST,42,54,48,36.4,48.7,17,0
12/11/2018,12/12/2018,KAST,43,52,47.5,36.4,48.6,18,0
12/11/2018,12/13/2018,KAST,43,53,48,36.3,48.5,17,0
12/11/2018,12/14/2018,KAST,41,55,48,36.3,48.4,17,0
12/11/2018,12/15/2018,KAST,43,53,48,36.2,48.4,17,0
12/11/2018,12/16/2018,KAST,45,53,49,36.2,48.3,16,0
12/11/2018,12/17/2018,KAST,45,55,50,36.2,48.3,15,0
12/11/2018,12/18/2018,KAST,44,54,49,36.2,48.2,16,0
12/11/2018,12/19/2018,KAST,42,54,48,36.2,48.2,17,0
12/11/2018,12/20/2018,KAST,38,51,44.5,36.2,48.2,21,0
12/11/2018,12/21/2018,KAST,35,48,41.5,36.3,48.2,24,0
12/11/2018,12/22/2018,KAST,33,46,39.5,36.3,48.2,26,0
12/11/2018,12/23/2018,KAST,29,44,36.5,36.4,48.2,29,0
12/11/2018,12/24/2018,KAST,28,43,35.5,36.4,48.2,30,0
12/11/2018,12/11/2018,KATL,30,52,41,37.2,54.8,24,0
12/11/2018,12/12/2018,KATL,34,54,44,37,54.5,21,0
12/11/2018,12/13/2018,KATL,41,56,48.5,36.8,54.2,17,0
12/11/2018,12/14/2018,KATL,46,56,51,36.6,54,14,0
12/11/2018,12/15/2018,KATL,37,52,44.5,36.4,53.7,21,0
12/11/2018,12/16/2018,KATL,38,57,47.5,36.2,53.5,18,0
12/11/2018,12/17/2018,KATL,39,57,48,36,53.3,17,0
12/11/2018,12/18/2018,KATL,38,57,47.5,35.8,53.1,18,0
12/11/2018,12/19/2018,KATL,40,56,48,35.7,52.9,17,0
12/11/2018,12/20/2018,KATL,42,59,50.5,35.5,52.8,15,0
12/11/2018,12/21/2018,KATL,41,58,49.5,35.4,52.6,16,0
12/11/2018,12/22/2018,KATL,40,60,50,35.3,52.5,15,0
12/11/2018,12/23/2018,KATL,41,61,51,35.1,52.3,14,0
12/11/2018,12/24/2018,KATL,39,57,48,35,52.2,17,0
12/11/2018,12/11/2018,KACY,25,44,34.5,29.5,47.1,31,0
12/11/2018,12/12/2018,KACY,27,44,35.5,29.2,46.8,30,0
12/11/2018,12/13/2018,KACY,33,48,40.5,28.9,46.5,25,0
12/11/2018,12/14/2018,KACY,39,54,46.5,28.6,46.3,19,0
12/11/2018,12/15/2018,KACY,33,58,45.5,28.4,46,20,0
12/11/2018,12/16/2018,KACY,33,49,41,28.1,45.7,24,0
12/11/2018,12/17/2018,KACY,28,50,39,27.8,45.4,26,0
12/11/2018,12/18/2018,KACY,24,43,33.5,27.6,45.2,32,0
12/11/2018,12/19/2018,KACY,29,49,39,27.3,44.9,26,0
12/11/2018,12/20/2018,KACY,39,56,47.5,27.1,44.7,18,0
12/11/2018,12/21/2018,KACY,39,57,48,26.9,44.5,17,0
12/11/2018,12/22/2018,KACY,35,54,44.5,26.7,44.2,21,0
12/11/2018,12/23/2018,KACY,36,54,45,26.5,44,20,0
12/11/2018,12/24/2018,KACY,30,49,39.5,26.3,43.8,26,0
12/11/2018,12/11/2018,KAGS,32,56,44,35.1,60.9,21,0
12/11/2018,12/12/2018,KAGS,33,57,45,34.9,60.6,20,0
12/11/2018,12/13/2018,KAGS,41,60,50.5,34.7,60.4,15,0
12/11/2018,12/14/2018,KAGS,49,67,58,34.5,60.1,7,0
12/11/2018,12/15/2018,KAGS,38,61,49.5,34.4,59.8,16,0
12/11/2018,12/16/2018,KAGS,37,59,48,34.2,59.6,17,0
12/11/2018,12/17/2018,KAGS,39,61,50,34.1,59.3,15,0
12/11/2018,12/18/2018,KAGS,36,59,47.5,33.9,59.1,18,0
12/11/2018,12/19/2018,KAGS,38,59,48.5,33.8,58.9,17,0
12/11/2018,12/20/2018,KAGS,44,64,54,33.7,58.7,11,0
12/11/2018,12/21/2018,KAGS,41,63,52,33.6,58.5,13,0
12/11/2018,12/22/2018,KAGS,40,65,52.5,33.5,58.4,13,0
12/11/2018,12/23/2018,KAGS,41,66,53.5,33.4,58.2,12,0
12/11/2018,12/24/2018,KAGS,41,62,51.5,33.3,58,14,0
12/11/2018,12/11/2018,KAUS,40,64,52,37.6,64,13,0
12/11/2018,12/12/2018,KAUS,52,69,60.5,37.4,63.9,5,0
12/11/2018,12/13/2018,KAUS,41,65,53,37.2,63.7,12,0
12/11/2018,12/14/2018,KAUS,39,60,49.5,37.1,63.6,16,0
12/11/2018,12/15/2018,KAUS,37,63,50,36.9,63.4,15,0
12/11/2018,12/16/2018,KAUS,40,66,53,36.8,63.3,12,0
12/11/2018,12/17/2018,KAUS,41,66,53.5,36.6,63.2,12,0
12/11/2018,12/18/2018,KAUS,43,66,54.5,36.5,63.1,11,0
12/11/2018,12/19/2018,KAUS,43,65,54,36.4,63,11,0
12/11/2018,12/20/2018,KAUS,42,65,53.5,36.3,62.9,12,0
12/11/2018,12/21/2018,KAUS,43,70,56.5,36.2,62.8,9,0
12/11/2018,12/22/2018,KAUS,41,65,53,36.1,62.7,12,0
12/11/2018,12/23/2018,KAUS,37,61,49,36.1,62.6,16,0
12/11/2018,12/24/2018,KAUS,37,59,48,36,62.5,17,0
12/11/2018,12/11/2018,KBFL,37,50,43.5,39,57.2,22,0
12/11/2018,12/12/2018,KBFL,37,56,46.5,38.9,57,19,0
12/11/2018,12/13/2018,KBFL,38,61,49.5,38.8,56.8,16,0
12/11/2018,12/14/2018,KBFL,40,67,53.5,38.8,56.6,12,0
12/11/2018,12/15/2018,KBFL,41,63,52,38.7,56.4,13,0
12/11/2018,12/16/2018,KBFL,44,64,54,38.7,56.2,11,0
12/11/2018,12/17/2018,KBFL,44,58,51,38.7,56.1,14,0
12/11/2018,12/18/2018,KBFL,42,57,49.5,38.6,55.9,16,0
12/11/2018,12/19/2018,KBFL,41,58,49.5,38.6,55.7,16,0
12/11/2018,12/20/2018,KBFL,41,60,50.5,38.6,55.6,15,0
12/11/2018,12/21/2018,KBFL,39,57,48,38.6,55.5,17,0
12/11/2018,12/22/2018,KBFL,38,57,47.5,38.6,55.4,18,0
12/11/2018,12/23/2018,KBFL,36,55,45.5,38.6,55.3,20,0
12/11/2018,12/24/2018,KBFL,36,53,44.5,38.6,55.2,21,0
12/11/2018,12/11/2018,KBWI,25,42,33.5,29.1,46.4,32,0
12/11/2018,12/12/2018,KBWI,29,43,36,28.9,46.1,29,0
12/11/2018,12/13/2018,KBWI,31,45,38,28.6,45.8,27,0
12/11/2018,12/14/2018,KBWI,36,50,43,28.3,45.5,22,0
12/11/2018,12/15/2018,KBWI,33,54,43.5,28.1,45.2,22,0
12/11/2018,12/16/2018,KBWI,33,48,40.5,27.8,44.9,25,0
12/11/2018,12/17/2018,KBWI,30,51,40.5,27.6,44.6,25,0
12/11/2018,12/18/2018,KBWI,25,43,34,27.4,44.4,31,0
12/11/2018,12/19/2018,KBWI,28,47,37.5,27.1,44.1,28,0
12/11/2018,12/20/2018,KBWI,37,54,45.5,26.9,43.9,20,0
12/11/2018,12/21/2018,KBWI,37,55,46,26.7,43.7,19,0
12/11/2018,12/22/2018,KBWI,34,53,43.5,26.5,43.4,22,0
12/11/2018,12/23/2018,KBWI,35,53,44,26.3,43.2,21,0
12/11/2018,12/24/2018,KBWI,30,48,39,26.1,43,26,0
12/11/2018,12/11/2018,KBTR,31,59,45,43.1,64.7,20,0
12/11/2018,12/12/2018,KBTR,42,64,53,43,64.5,12,0
12/11/2018,12/13/2018,KBTR,46,66,56,42.9,64.3,9,0
12/11/2018,12/14/2018,KBTR,43,58,50.5,42.7,64.1,15,0
12/11/2018,12/15/2018,KBTR,38,59,48.5,42.6,63.9,17,0
12/11/2018,12/16/2018,KBTR,40,63,51.5,42.5,63.8,14,0
12/11/2018,12/17/2018,KBTR,41,63,52,42.3,63.6,13,0
12/11/2018,12/18/2018,KBTR,43,64,53.5,42.2,63.5,12,0
12/11/2018,12/19/2018,KBTR,45,65,55,42.1,63.3,10,0
12/11/2018,12/20/2018,KBTR,43,64,53.5,42,63.2,12,0
12/11/2018,12/21/2018,KBTR,44,67,55.5,41.9,63.1,10,0
12/11/2018,12/22/2018,KBTR,45,68,56.5,41.8,63,9,0
12/11/2018,12/23/2018,KBTR,43,64,53.5,41.8,62.8,12,0
12/11/2018,12/24/2018,KBTR,42,63,52.5,41.7,62.7,13,0
12/11/2018,12/11/2018,KBKW,14,38,26,27.2,43.2,39,0
12/11/2018,12/12/2018,KBKW,28,42,35,26.9,42.9,30,0
12/11/2018,12/13/2018,KBKW,33,44,38.5,26.7,42.6,27,0
12/11/2018,12/14/2018,KBKW,36,47,41.5,26.4,42.3,24,0
12/11/2018,12/15/2018,KBKW,30,46,38,26.2,42.1,27,0
12/11/2018,12/16/2018,KBKW,31,46,38.5,25.9,41.9,27,0
12/11/2018,12/17/2018,KBKW,29,44,36.5,25.7,41.6,29,0
12/11/2018,12/18/2018,KBKW,27,44,35.5,25.5,41.4,30,0
12/11/2018,12/19/2018,KBKW,31,48,39.5,25.3,41.2,26,0
12/11/2018,12/20/2018,KBKW,36,51,43.5,25,41,22,0
12/11/2018,12/21/2018,KBKW,34,49,41.5,24.8,40.9,24,0
12/11/2018,12/22/2018,KBKW,31,49,40,24.7,40.7,25,0
12/11/2018,12/23/2018,KBKW,32,49,40.5,24.5,40.5,25,0
12/11/2018,12/24/2018,KBKW,26,46,36,24.3,40.4,29,0
12/11/2018,12/11/2018,KBIL,31,43,37,18.1,35,28,0
12/11/2018,12/12/2018,KBIL,24,43,33.5,17.9,34.9,32,0
12/11/2018,12/13/2018,KBIL,27,42,34.5,17.7,34.8,31,0
12/11/2018,12/14/2018,KBIL,32,48,40,17.6,34.7,25,0
12/11/2018,12/15/2018,KBIL,30,49,39.5,17.4,34.6,26,0
12/11/2018,12/16/2018,KBIL,30,50,40,17.3,34.5,25,0
12/11/2018,12/17/2018,KBIL,30,49,39.5,17.2,34.5,26,0
12/11/2018,12/18/2018,KBIL,34,49,41.5,17.1,34.4,24,0
12/11/2018,12/19/2018,KBIL,31,48,39.5,17,34.4,26,0
12/11/2018,12/20/2018,KBIL,27,44,35.5,16.9,34.4,30,0
12/11/2018,12/21/2018,KBIL,18,35,26.5,16.8,34.4,39,0
12/11/2018,12/22/2018,KBIL,14,29,21.5,16.8,34.5,44,0
12/11/2018,12/23/2018,KBIL,8,22,15,16.7,34.5,50,0
12/11/2018,12/24/2018,KBIL,7,22,14.5,16.7,34.6,51,0
12/11/2018,12/11/2018,KBGM,24,32,28,22.6,34.5,37,0
12/11/2018,12/12/2018,KBGM,22,31,26.5,22.2,34.2,39,0
12/11/2018,12/13/2018,KBGM,22,35,28.5,21.9,33.9,37,0
12/11/2018,12/14/2018,KBGM,29,40,34.5,21.6,33.5,31,0
12/11/2018,12/15/2018,KBGM,28,40,34,21.3,33.2,31,0
12/11/2018,12/16/2018,KBGM,28,36,32,20.9,32.9,33,0
12/11/2018,12/17/2018,KBGM,21,36,28.5,20.6,32.6,37,0
12/11/2018,12/18/2018,KBGM,17,30,23.5,20.3,32.3,42,0
12/11/2018,12/19/2018,KBGM,24,38,31,20,32.1,34,0
12/11/2018,12/20/2018,KBGM,32,45,38.5,19.7,31.8,27,0
12/11/2018,12/21/2018,KBGM,33,45,39,19.5,31.5,26,0
12/11/2018,12/22/2018,KBGM,29,40,34.5,19.2,31.3,31,0
12/11/2018,12/23/2018,KBGM,29,41,35,18.9,31.1,30,0
12/11/2018,12/24/2018,KBGM,23,35,29,18.7,30.8,36,0
12/11/2018,12/11/2018,KBHM,27,52,39.5,36.9,56.7,26,0
12/11/2018,12/12/2018,KBHM,37,56,46.5,36.8,56.4,19,0
12/11/2018,12/13/2018,KBHM,44,59,51.5,36.6,56.2,14,0
12/11/2018,12/14/2018,KBHM,44,59,51.5,36.4,55.9,14,0
12/11/2018,12/15/2018,KBHM,32,54,43,36.2,55.7,22,0
12/11/2018,12/16/2018,KBHM,35,58,46.5,36.1,55.5,19,0
12/11/2018,12/17/2018,KBHM,35,58,46.5,35.9,55.3,19,0
12/11/2018,12/18/2018,KBHM,36,58,47,35.8,55.1,18,0
12/11/2018,12/19/2018,KBHM,39,58,48.5,35.6,54.9,17,0
12/11/2018,12/20/2018,KBHM,38,59,48.5,35.5,54.7,17,0
12/11/2018,12/21/2018,KBHM,38,59,48.5,35.3,54.6,17,0
12/11/2018,12/22/2018,KBHM,38,60,49,35.2,54.4,16,0
12/11/2018,12/23/2018,KBHM,38,59,48.5,35.1,54.3,17,0
12/11/2018,12/24/2018,KBHM,34,57,45.5,35,54.2,20,0
12/11/2018,12/11/2018,KBIS,12,35,23.5,7.3,27.1,42,0
12/11/2018,12/12/2018,KBIS,19,39,29,6.9,26.8,36,0
12/11/2018,12/13/2018,KBIS,23,38,30.5,6.6,26.5,35,0
12/11/2018,12/14/2018,KBIS,23,44,33.5,6.2,26.2,32,0
12/11/2018,12/15/2018,KBIS,23,41,32,5.9,25.9,33,0
12/11/2018,12/16/2018,KBIS,19,40,29.5,5.6,25.7,36,0
12/11/2018,12/17/2018,KBIS,21,39,30,5.4,25.4,35,0
12/11/2018,12/18/2018,KBIS,26,44,35,5.1,25.2,30,0
12/11/2018,12/19/2018,KBIS,27,45,36,4.8,25,29,0
12/11/2018,12/20/2018,KBIS,20,36,28,4.6,24.8,37,0
12/11/2018,12/21/2018,KBIS,13,29,21,4.3,24.6,44,0
12/11/2018,12/22/2018,KBIS,6,20,13,4.1,24.4,52,0
12/11/2018,12/23/2018,KBIS,-1,14,6.5,3.9,24.2,59,0
12/11/2018,12/24/2018,KBIS,-3,13,5,3.7,24.1,60,0
12/11/2018,12/11/2018,KBOI,22,37,29.5,24.3,37.8,36,0
12/11/2018,12/12/2018,KBOI,17,39,28,24.1,37.6,37,0
12/11/2018,12/13/2018,KBOI,18,38,28,23.9,37.4,37,0
12/11/2018,12/14/2018,KBOI,25,41,33,23.7,37.2,32,0
12/11/2018,12/15/2018,KBOI,31,43,37,23.6,37.1,28,0
12/11/2018,12/16/2018,KBOI,34,44,39,23.4,36.9,26,0
12/11/2018,12/17/2018,KBOI,32,44,38,23.3,36.8,27,0
12/11/2018,12/18/2018,KBOI,32,44,38,23.2,36.7,27,0
12/11/2018,12/19/2018,KBOI,31,45,38,23.1,36.6,27,0
12/11/2018,12/20/2018,KBOI,24,43,33.5,23.1,36.5,32,0
12/11/2018,12/21/2018,KBOI,18,36,27,23,36.4,38,0
12/11/2018,12/22/2018,KBOI,19,34,26.5,22.9,36.4,39,0
12/11/2018,12/23/2018,KBOI,13,29,21,22.9,36.3,44,0
12/11/2018,12/24/2018,KBOI,11,28,19.5,22.9,36.3,46,0
12/11/2018,12/11/2018,KBOS,26,36,31,29.8,42.6,34,0
12/11/2018,12/12/2018,KBOS,21,33,27,29.4,42.3,38,0
12/11/2018,12/13/2018,KBOS,26,38,32,29.1,42,33,0
12/11/2018,12/14/2018,KBOS,34,48,41,28.7,41.6,24,0
12/11/2018,12/15/2018,KBOS,38,49,43.5,28.4,41.3,22,0
12/11/2018,12/16/2018,KBOS,34,48,41,28,41,24,0
12/11/2018,12/17/2018,KBOS,29,44,36.5,27.7,40.7,29,0
12/11/2018,12/18/2018,KBOS,23,37,30,27.4,40.3,35,0
12/11/2018,12/19/2018,KBOS,26,42,34,27,40,31,0
12/11/2018,12/20/2018,KBOS,37,49,43,26.7,39.7,22,0
12/11/2018,12/21/2018,KBOS,40,52,46,26.4,39.4,19,0
12/11/2018,12/22/2018,KBOS,36,50,43,26.1,39.2,22,0
12/11/2018,12/23/2018,KBOS,37,49,43,25.8,38.9,22,0
12/11/2018,12/24/2018,KBOS,30,46,38,25.5,38.6,27,0
12/11/2018,12/11/2018,KBDR,26,40,33,29.9,43.7,32,0
12/11/2018,12/12/2018,KBDR,23,40,31.5,29.5,43.3,34,0
12/11/2018,12/13/2018,KBDR,25,40,32.5,29.2,43,33,0
12/11/2018,12/14/2018,KBDR,34,48,41,28.9,42.7,24,0
12/11/2018,12/15/2018,KBDR,34,54,44,28.5,42.3,21,0
12/11/2018,12/16/2018,KBDR,34,46,40,28.2,42,25,0
12/11/2018,12/17/2018,KBDR,27,46,36.5,27.8,41.7,29,0
12/11/2018,12/18/2018,KBDR,24,38,31,27.5,41.4,34,0
12/11/2018,12/19/2018,KBDR,28,43,35.5,27.2,41.1,30,0
12/11/2018,12/20/2018,KBDR,37,52,44.5,26.9,40.8,21,0
12/11/2018,12/21/2018,KBDR,39,54,46.5,26.6,40.5,19,0
12/11/2018,12/22/2018,KBDR,35,51,43,26.3,40.3,22,0
12/11/2018,12/23/2018,KBDR,36,50,43,26,40,22,0
12/11/2018,12/24/2018,KBDR,31,45,38,25.8,39.7,27,0
12/11/2018,12/11/2018,KBRO,51,72,61.5,53.2,72.4,4,0
12/11/2018,12/12/2018,KBRO,60,76,68,53,72.2,0,3
12/11/2018,12/13/2018,KBRO,50,80,65,52.9,72,0,0
12/11/2018,12/14/2018,KBRO,45,64,54.5,52.7,71.8,11,0
12/11/2018,12/15/2018,KBRO,45,67,56,52.5,71.6,9,0
12/11/2018,12/16/2018,KBRO,49,70,59.5,52.4,71.5,6,0
12/11/2018,12/17/2018,KBRO,52,71,61.5,52.2,71.3,4,0
12/11/2018,12/18/2018,KBRO,55,72,63.5,52.1,71.1,2,0
12/11/2018,12/19/2018,KBRO,53,73,63,52,71,2,0
12/11/2018,12/20/2018,KBRO,49,70,59.5,51.8,70.9,6,0
12/11/2018,12/21/2018,KBRO,55,75,65,51.7,70.8,0,0
12/11/2018,12/22/2018,KBRO,56,76,66,51.6,70.6,0,1
12/11/2018,12/23/2018,KBRO,53,71,62,51.5,70.5,3,0
12/11/2018,12/24/2018,KBRO,52,70,61,51.4,70.4,4,0
12/11/2018,12/11/2018,KBUF,23,33,28,25.4,37.3,37,0
12/11/2018,12/12/2018,KBUF,23,36,29.5,25.1,37,36,0
12/11/2018,12/13/2018,KBUF,26,40,33,24.8,36.6,32,0
12/11/2018,12/14/2018,KBUF,31,42,36.5,24.5,36.3,29,0
12/11/2018,12/15/2018,KBUF,29,40,34.5,24.2,36,31,0
12/11/2018,12/16/2018,KBUF,30,40,35,23.9,35.7,30,0
12/11/2018,12/17/2018,KBUF,24,37,30.5,23.6,35.4,35,0
12/11/2018,12/18/2018,KBUF,22,35,28.5,23.3,35.2,37,0
12/11/2018,12/19/2018,KBUF,31,41,36,23,34.9,29,0
12/11/2018,12/20/2018,KBUF,36,49,42.5,22.7,34.6,23,0
12/11/2018,12/21/2018,KBUF,35,47,41,22.5,34.4,24,0
12/11/2018,12/22/2018,KBUF,32,43,37.5,22.2,34.1,28,0
12/11/2018,12/23/2018,KBUF,30,41,35.5,21.9,33.9,30,0
12/11/2018,12/24/2018,KBUF,24,35,29.5,21.7,33.7,36,0
12/11/2018,12/11/2018,KBUR,44,69,56.5,41.1,66.8,9,0
12/11/2018,12/12/2018,KBUR,44,69,56.5,41,66.7,9,0
12/11/2018,12/13/2018,KBUR,44,71,57.5,41,66.7,8,0
12/11/2018,12/14/2018,KBUR,43,67,55,41,66.6,10,0
12/11/2018,12/15/2018,KBUR,45,67,56,40.9,66.5,9,0
12/11/2018,12/16/2018,KBUR,47,65,56,40.9,66.5,9,0
12/11/2018,12/17/2018,KBUR,44,64,54,40.9,66.5,11,0
12/11/2018,12/18/2018,KBUR,47,70,58.5,40.9,66.5,7,0
12/11/2018,12/19/2018,KBUR,49,76,62.5,40.9,66.5,3,0
